"id","name","last","buy","sell","volume","base_unit"
1,"BTC/INR","5418513.0","5414726.0","5418513.0","1.70543","btc"
2,"XRP/INR","44.1002","44.1","44.1002","92401.0","xrp"
3,"ETH/INR","257960.0","255001.6","257951.5","15.6566","eth"
4,"TRX/INR","10.9999","10.8601","10.9999","373954.0","trx"
5,"EOS/INR","84.0","85.0","93.0","1661.43","eos"
6,"ZIL/INR","2.85","2.85","2.86","100991.0","zil"
7,"BAT/INR","20.023","20.022","20.023","2850.46","bat"
8,"ZRX/INR","40.26","39.59","40.18","6089.63","zrx"
9,"REQ/INR","10.3585","10.2532","10.3261","6992.0","req"
10,"NULS/INR","108.0","0.0","0.0","0.0","nuls"
